sinonom_char,am_han_viet,all_readings
亶,chiên,chiên thiện đàn đản
亸,đả,đả
亹,mên,mên môn vĩ vỉ
人,nhân,nhân nhơn người
亻,nhân,nhân nhơn
亼,tập,tập
亾,vong,vong
亿,ức,ức
什,thập,thập thậm
仁,nhân,nhân nhơn
仂,lặc,lặc
仃,đừng,đừng đinh đính
仄,trắc,trắc
仅,cẩn,cẩn
仆,bọc,bọc bộc phó
仇,cừu,cừu câu
仉,kẻ,kẻ
今,kim,kim
介,giới,giới
仍,nhưng,nhưng
从,thung,thung tung tòng tùng túng tụng
仏,phật,phật
仑,lỏn,lỏn
仓,sảng,sảng
仔,tử,tử tể
仕,sĩ,sĩ
他,tha,tha đà
仗,trượng,trượng
付,phó,phó phụ
仙,tiên,tiên
仚,tiên,tiên
仛,sá,sá đạc
仝,đồng,đồng
仞,nhận,nhận
仟,thiên,thiên
仡,ngật,ngật
代,đại,đại
令,lệnh,lệnh linh lịnh
以,dĩ,dĩ
仪,nghi,nghi
仫,mu,mu
们,món,món
仭,nhận,nhận
仮,giá,giá giả
仰,ngưỡng,ngưỡng ngang nhạng
仲,trọng,trọng
仳,tỳ,tỳ tỷ vậy
仵,ngỗ,ngỗ
件,kiện,kiện
价,giá,giá giới
任,nhậm,nhậm nhiệm nhâm
仼,nhậm,nhậm
份,phần,phần bân phân
仾,đê,đê đây
仿,phảng,phảng phỏng
伀,chung,chung
企,xí,xí
伃,dư,dư
伈,tẩm,tẩm
伉,kháng,kháng
伊,y,y
伋,cấp,cấp
伍,ngũ,ngũ
伎,kĩ,kĩ ky kỹ
伏,phục,phục bặc phu phúc
伐,phạt,phạt
休,hưu,hưu hu
伕,phu,phu
众,chúng,chúng
优,ưu,ưu
伙,hỏa,hỏa khỏa lõa
会,hội,hội cối
伛,ủ,ủ
伜,thối,thối tóai tốt
伝,truyền,truyền truyện
伞,tàn,tàn
伟,vĩ,vĩ
传,truyền,truyền
伣,hiện,hiện
伤,thương,thương
伥,trành,trành
伦,luân,luân
伧,sanh,sanh
伩,nho,nho
伪,nguỵ,nguỵ
伫,trữ,trữ
伭,huyền,huyền
伮,nó,nó nỗ
伯,bá,bá bách
估,cổ,cổ
伱,nhĩ,nhĩ nễ nể
伲,ni,ni
伴,bạn,bạn phán
伵,tớ,tớ
伶,rành,rành linh
伷,trụ,trụ
伸,thân,thân
伺,tí,tí tý tứ
伻,bình,bình
似,tự,tự tựa
伽,già,già cà gia
伾,phi,phi
佀,tự,tự
佃,điền,điền
但,đán,đán đãn
佇,trữ,trữ
佈,bố,bố
佉,khư,khư
佊,bè,bè
佋,chiêu,chiêu thiệu
佌,thử,thử
位,vị,vị
低,đây,đây đê
住,trú,trú trụ
佐,tá,tá
佑,hữu,hữu hựu
体,thể,thể bổn
佔,chiêm,chiêm chiếm
何,hà,hà
佗,tha,tha đà
佘,xà,xà
余,dư,dư xà
佚,dật,dật điệt
佛,phật,phật bật bột phất
作,tác,tác tá
佝,câu,câu
佞,nịnh,nịnh
佟,đông,đông đồng
你,nể,nể nhĩ nễ
佣,dong,dong dung dụng
佥,thiêm,thiêm
佩,bội,bội
佪,hồi,hồi
佬,lão,lão
佯,dương,dương
佰,bách,bách mạch bá
佳,giai,giai
併,tính,tính
佶,cát,cát
佷,hận,hận ngận
佸,quát,quát
佹,qủy,qủy
佺,thuyên,thuyên tòan
佻,điêu,điêu dao diêu khiêu thiêu điểu điệu
佼,giao,giao giảo
佽,thứ,thứ
佾,dật,dật
使,sứ,sứ sử
侁,sân,sân thân tân
侂,thác,thác
侃,khản,khản
侄,chất,chất trất điệt
侅,hời,hời cai
來,lai,lai lãi
侈,xỉ,xỉ
侊,quang,quang
例,lề,lề lệ
侍,thị,thị
侎,mị,mị
侏,chu,chu thù
侐,hức,hức tuất
侑,hựu,hựu
侔,mầu,mầu mâu
侖,lỏn,lỏn luân lôn
侗,thông,thông thống đồng động
侘,sá,sá
侚,tuẫn,tuẫn
供,cung,cung cúng
依,y,y ỷ
侠,hiệp,hiệp
価,giá,giá
侣,lứa,lứa
侥,nghẹo,nghẹo
侦,trinh,trinh
侧,trắc,trắc
侨,quều,quều
侩,cúi,cúi
侪,sài,sài
侫,nịnh,nịnh
侬,nùng,nùng
侭,tẫn,tẫn tận
侮,hối,hối vũ
侯,hậu,hậu hầu
侱,rình,rình
侵,xâm,xâm thẩm tẩm
侶,lứa,lứa lữ
侷,cục,cục
侼,bụt,bụt
便,tiện,tiện
俁,ngu,ngu vũ
係,hệ,hệ
促,xúc,xúc
俄,nga,nga
俅,cầu,cầu cừu
俈,khốc,khốc
俊,tuấn,tuấn
俎,trở,trở
俏,tiêu,tiêu tiếu
俐,lợi,lợi lị
俑,dõng,dõng dũng thông
俓,cứng,cứng
俔,hiện,hiện khiếm
俗,tục,tục
俘,phu,phu
俚,lái,lái lí lý
俛,miễn,miễn phủ
俜,binh,binh sính
保,bảo,bảo
俞,du,du
俟,sĩ,sĩ
俠,hiệp,hiệp
信,tín,tín thân
俣,vũ,vũ
俦,thù,thù trù
俨,nghiễm,nghiễm
俩,lưỡng,lưỡng
俪,lệ,lệ
俫,lười,lười
俭,kiệm,kiệm
修,tu,tu
俯,phủ,phủ
俱,câu,câu
俳,bài,bài bồi
俵,biểu,biểu
俶,thích,thích thục
俸,bổng,bổng
俺,em,em yêm
俻,bị,bị
俾,tỉ,tỉ tỷ
倀,trành,trành
倂,tính,tính
倅,thối,thối tóai tốt
倆,lưỡng,lưỡng
倈,lười,lười
倉,sảng,sảng thương thảng xương
個,cá,cá
倌,quan,quan
倍,bội,bội
倏,thúc,thúc
倐,thúc,thúc
們,món,món môn
倒,đảo,đảo đáo
倔,quật,quật
倖,hãnh,hãnh
倘,thẳng,thẳng thảng
候,hầu,hầu hậu
倚,ỷ,ỷ kỳ
倜,thích,thích
倝,cán,cán
倞,kính,kính lượng
借,tá,tá
倡,xướng,xướng xương
倢,tiệp,tiệp
倣,phỏng,phỏng phóng phảng
値,trị,trị trực
倥,không,không
倦,quyện,quyện
倨,cứ,cứ
倩,thiến,thiến sai sảnh thính
倪,nghê,nghê
倫,luân,luân
倬,xấc,xấc trác
倭,ỏai,ỏai nụy oa uy oải
倮,khõa,khõa khỏa lõa
倶,câu,câu
倹,kiệm,kiệm
债,trái,trái
值,trị,trị
倾,khuynh,khuynh
偁,xưng,xưng xứng
偃,ễnh,ễnh yển
偅,chổng,chổng
假,giá,giá giả hà
偈,kệ,kệ khế
偉,vĩ,vĩ
偊,chủ,chủ củ vũ
偌,nhược,nhược nhạ
偎,ôi,ôi hoáy
偏,thiên,thiên
偐,nhạn,nhạn
偒,đãng,đãng
偓,ác,ác ốc
偕,giai,giai
做,tố,tố
停,đình,đình
偟,hòang,hòang
偢,thiễu,thiễu thu tiễu
健,kiện,kiện
偨,thày,thày
偪,bức,bức phúc
偬,tổng,tổng
偭,diện,diện miến mạn
偲,tai,tai ti ty
側,trắc,trắc
偵,trinh,trinh
偶,ngẫu,ngẫu
偷,du,du
偸,du,du thâu
偺,cha,cha
偻,lũ,lũ
偽,ngụy,ngụy nguỵ
偾,phẫn,phẫn
偿,thường,thường
傀,khôi,khôi khổi qủy ổi
傁,đàm,đàm sưu tẩu
傅,phó,phó phu phụ
傈,lật,lật
傌,má,má
傍,bàng,bàng bạng
傎,điên,điên
傏,đường,đường
傑,kiệt,kiệt
傒,hề,hề hễ
傔,khiểm,khiểm
傖,sanh,sanh thảng
傘,tàn,tàn tán tản
備,bị,bị
傚,hiệu,hiệu
傜,dao,dao
傞,ta,ta thoa
傢,gia,gia
傣,thái,thái
傥,thảng,thảng
傦,cốt,cốt
傧,tân,tân
储,trừ,trừ
傩,na,na
催,thòi,thòi thôi
傭,dong,dong dung dũng
傯,tổng,tổng
傱,tuồng,tuồng
傲,ngạo,ngạo
傳,truyền,truyền truyến truyện
傴,ủ,ủ
債,trái,trái
傷,thương,thương
傺,sế,sế
傻,sọa,sọa sỏa xọa
傽,chương,chương
傾,khuynh,khuynh
僂,lũ,lũ lâu
僃,bị,bị
僄,xỉu,xỉu phiêu phiếu tiêu
僅,cẩn,cẩn cận
僇,lục,lục
僉,thiêm,thiêm
僊,tiên,tiên
働,động,động
僎,chuyến,chuyến sọan tuân
像,tượng,tượng tương
僑,quều,quều kiều
僕,bộc,bộc
僖,hi,hi hy
僚,liêu,liêu
僝,sàn,sàn sạn
僞,ngụy,ngụy
僣,thiết,thiết tiếm
僤,dạn,dạn đàn đạn đản
僥,nghẹo,nghẹo kiểu nghiêu
僦,tựu,tựu
僧,tăng,tăng
僨,phẫn,phẫn
僩,dản,dản gián giản nhàn
僭,tiếm,tiếm
僮,đồng,đồng tráng
僯,lấn,lấn
僱,cố,cố
僳,túc,túc
僵,cương,cương thương
價,giá,giá giới
僻,tích,tích tịch
僾,ái,ái
儀,nghi,nghi
儁,tuấn,tuấn
儂,nùng,nùng nông
億,ức,ức
儆,cảnh,cảnh khểnh
儈,cúi,cúi khóai quái
儉,kiệm,kiệm
儋,đam,đam đảm
儌,kiêu,kiêu
儍,sọa,sọa sỏa xọa
儎,tái,tái tải
儐,tân,tân tấn
儒,nho,nho nhu
儓,di,di
儔,thù,thù trù
儕,sài,sài
儗,nghĩ,nghĩ
儘,tần,tần tẫn tận
儚,manh,manh mộng
儛,vũ,vũ
儜,ninh,ninh
償,thường,thường
儡,lỗi,lỗi
優,ưu,ưu
儭,sấn,sấn thân
儱,lung,lung lũng
儲,trừ,trừ trữ
儳,sàm,sàm sảm
儷,lệ,lệ
儸,la,la
儹,tỏan,tỏan
儺,na,na
儻,thảng,thảng thẳng
儼,nghiễm,nghiễm
儿,nhi,nhi nhân
兀,ngột,ngột ngọat ô
允,dõan,dõan duẫn
兂,trâm,trâm
元,nguyên,nguyên
兄,huynh,huynh huống
充,sung,sung
兆,triệu,triệu
兇,hung,hung
先,tiên,tiên tiến
光,quang,quang
克,khắc,khắc
兌,duyệt,duyệt duệ nhuệ đòai đóai đoài
免,miễn,miễn vấn
兎,thỏ,thỏ thố
児,nhi,nhi
兑,đòai,đòai đoài
兒,nghê,nghê nhi
兔,thỏ,thỏ thố
兕,hủy,hủy
兖,duyễn,duyễn
兗,duyễn,duyễn duyện
党,đảng,đảng
兜,đâu,đâu
兟,sân,sân
兢,cạnh,cạnh căng
入,nhập,nhập
兦,vong,vong
內,nội,nội
全,tòan,tòan toàn
兩,lưỡng,lưỡng lượng lạng
兪,du,du
八,bát,bát
公,công,công
六,lục,lục
兮,hề,hề a
兰,lan,lan
共,cộng,cộng cung củng
关,loan,loan quan tiếu
兴,hưng,hưng
兵,binh,binh
其,kì,kì cơ ki ky kí ký kỳ
具,cụ,cụ
典,điển,điển
兹,tư,tư
养,dường,dường dưỡng dượng dạng
兼,kiêm,kiêm
兽,thú,thú
冀,kí,kí ký
冁,sản,sản
冂,quynh,quynh
冄,nhiễm,nhiễm
内,nội,nội nạp
円,viên,viên
冈,cương,cương
冉,nhiễm,nhiễm
冊,sách,sách
冋,quynh,quynh
册,sách,sách
再,tái,tái
冏,qúynh,qúynh
冐,mạo,mạo
冑,trụ,trụ
冒,mạo,mạo mặc
冓,cấu,cấu
冕,miện,miện
冖,mịch,mịch
冗,nhũng,nhũng
冘,đem,đem dâm
写,tả,tả
军,quân,quân
农,nông,nông
冝,nghi,nghi
冠,quán,quán quan
冡,trũng,trũng
冢,trũng,trũng trủng
冣,tối,tối
冤,oan,oan
冥,minh,minh
冦,khấu,khấu
冨,phú,phú
冩,tả,tả
冪,mạc,mạc mịch
冫,băng,băng
冬,đông,đông
冯,bằng,bằng
冰,băng,băng ngưng
冱,hỗ,hỗ hộ
冲,trùng,trùng xung trong
决,huyết,huyết khuyết quyết
冴,nhạ,nhạ
况,huống,huống
冶,dã,dã
冷,lạnh,lạnh lãnh
冻,đông,đông
冽,rét,rét liệt
净,tịnh,tịnh
凂,miễn,miễn mỗi
凃,đồ,đồ trà
凄,thê,thê
凅,hạc,hạc
准,chốn,chốn chuyết chuẩn
凈,tịnh,tịnh
凉,lương,lương lượng
凊,sảnh,sảnh thính thảnh
凋,điêu,điêu
凌,lăng,lăng
凍,đông,đông đống
减,giảm,giảm
凑,thấu,thấu tấu
凓,lật,lật
凖,chuẩn,chuẩn
凛,lẫm,lẫm
凜,lẫm,lẫm
凝,ngưng,ngưng
凞,hi,hi hy
几,kỉ,kỉ cơ ki ky kì kỷ ỷ
凡,phàm,phàm hòan
