sinonom_char,am_han_viet,all_readings
徤,kiện,kiện
徧,biến,biến
徨,hòang,hòang
復,phú,phú phúc phục hạ
循,tuần,tuần
徬,bàng,bàng bạng
徭,dao,dao
微,vi,vi vy
徯,hề,hề hễ khê
徳,đức,đức
徴,chủy,chủy trưng trừng
徵,trưng,trưng chủy trủy trừng
德,đức,đức
徹,triệt,triệt
徼,kiêu,kiêu kiếu kiểu yêu
徽,huy,huy
心,tâm,tâm lòng
忄,tâm,tâm
必,tất,tất
忆,hắt,hắt
忇,sực,sực
忉,đau,đau đao
忌,kị,kị kí ký kỵ
忍,nhẫn,nhẫn
忏,thin,thin
忐,khẩn,khẩn thảm
忑,thắc,thắc đảo
忒,thắc,thắc
忔,hật,hật ngật
忖,thổn,thổn thốn
志,chí,chí
忘,vong,vong vô vương
忙,mang,mang
応,ưng,ưng
忝,thỏm,thỏm thiểm
忞,mân,mân
忠,trung,trung
忡,sung,sung xung
忢,ngộ,ngộ
忤,ngỗ,ngỗ
忧,ưu,ưu
忩,thông,thông
忪,chung,chung
快,khóai,khóai khoái
忭,biện,biện
忮,kĩ,kĩ kỹ
忯,thị,thị
忰,tụy,tụy
忱,thầm,thầm
忲,thái,thái
忳,chuân,chuân truân đồn
念,niệm,niệm
忸,nục,nục nữu
忻,hân,hân hãn
忼,khảng,khảng
忽,hốt,hốt
忾,hi,hi
忿,phẫn,phẫn
怀,hoài,hoài
态,thái,thái
怂,túng,túng
怃,hủ,hủ
怅,trướng,trướng
怆,sang,sang
怊,siêu,siêu
怌,hoài,hoài
怍,tạc,tạc
怎,chẩn,chẩn chẩm trẩm
怏,ưởng,ưởng
怐,cú,cú khấu
怑,bẳn,bẳn
怒,nộ,nộ
怔,chinh,chinh
怕,phách,phách phạ
怖,bố,bố phố
怗,chiêm,chiêm siêm thiếp
怘,cố,cố
怙,hỗ,hỗ
怚,thư,thư tự
怛,đắn,đắn đát
怜,lanh,lanh linh liên lân
思,tư,tư tai tứ
怠,đãi,đãi
怡,di,di
怤,phu,phu phô
急,cấp,cấp
怦,bừng,bừng phanh
性,tính,tính
怨,óan,óan uẩn oán
怩,náy,náy ni
怪,quái,quái
怫,phật,phật bội phí phất
怭,tất,tất
怯,khiếp,khiếp
怱,thông,thông
怲,biếng,biếng
怳,hỏang,hỏang hoảng
怵,truột,truột truật
怸,tạt,tạt
总,tổng,tổng
怼,trụy,trụy
怿,dịch,dịch
恁,nhẫm,nhẫm nhậm
恂,tuân,tuân tuấn
恃,thị,thị
恄,ghét,ghét
恅,làu,làu
恆,căng,căng cắng hằng
恇,khuông,khuông
恉,chỉ,chỉ
恊,hiệp,hiệp
恋,luyến,luyến
恌,dao,dao khiêu thiêu
恍,hỏang,hỏang hoảng
恐,khủng,khủng khúng
恑,nguây,nguây qủy
恒,căng,căng cắng hằng
恔,hiệu,hiệu
恕,thứ,thứ
恙,dạng,dạng
恚,huệ,huệ khuể
恜,thức,thức
恝,kiết,kiết
恟,hung,hung
恠,quái,quái
恡,lận,lận
恢,khôi,khôi
恣,thư,thư tứ
恤,tuất,tuất
恥,sỉ,sỉ
恧,nục,nục
恨,hận,hận
恩,ân,ân
恪,khác,khác
恫,thông,thông đồng đỗng động
恬,điềm,điềm
恭,cung,cung
息,tức,tức
恰,cáp,cáp kháp
恳,khấn,khấn
恵,huệ,huệ
恶,ạc,ạc
恸,đỏng,đỏng
恺,khải,khải
恻,trắc,trắc
恼,não,não
恽,uẩn,uẩn
恿,dũng,dũng
悁,quyên,quyên quyến
悃,khổn,khổn
悄,thiểu,thiểu tiễu
悅,dột,dột
悆,dự,dự
悇,dơ,dơ
悉,tạt,tạt tất
悊,triết,triết
悋,lẫn,lẫn lận
悌,đễ,đễ để
悍,hãn,hãn
悐,thích,thích
悑,bỏ,bỏ bố phố
悒,ấp,ấp
悔,hối,hối hổi
悕,hy,hy
悖,bội,bội bột
悗,mến,mến man miễn muộn
悚,tủng,tủng
悛,thoăn,thoăn thuyên thuân
悜,chường,chường
悝,khôi,khôi lí lý
悞,ngộ,ngộ
悟,ngộ,ngộ
悠,du,du
患,họan,họan hoạn
悤,thông,thông
悦,duyệt,duyệt dột
悧,rượi,rượi lợi
您,nâm,nâm nẫn nể
悩,não,não
悪,ác,ác
悫,xác,xác
悬,huyền,huyền
悭,ghen,ghen
悮,ngộ,ngộ
悯,mẫn,mẫn
悰,tông,tông
悱,phỉ,phỉ
悲,bi,bi
悳,đức,đức
悴,xót,xót tụy
悵,trướng,trướng
悶,muốn,muốn muộn môn
悸,qúy,qúy
悻,hãnh,hãnh
悼,điệu,điệu nạo
悽,thê,thê
悾,không,không
惀,luẩn,luẩn
惄,nịch,nịch
情,tình,tình
惆,trù,trù
惇,run,run đôn
惈,quả,quả
惊,kinh,kinh lương
惋,ỏan,ỏan uyển
惍,căm,căm
惎,kị,kị kỵ
惏,lầm,lầm lam lâm lẫm
惑,hoặc,hoặc
惓,quyền,quyền quyển
惔,đàm,đàm đạm
惕,thích,thích dịch
惘,võng,võng
惙,chuyết,chuyết xuyết
惚,hốt,hốt dịch
惛,hôn,hôn muộn
惜,tiếc,tiếc tích
惝,sượng,sượng sưởng thảng
惟,duy,duy
惠,huệ,huệ
惡,ác,ác ô ố
惣,tổng,tổng
惦,điếm,điếm
惧,cụ,cụ
惨,thảm,thảm
惩,trừng,trừng
惪,đức,đức
惫,bại,bại
惬,khiếp,khiếp
惭,tuồm,tuồm
惮,đạn,đạn dạn
惯,quen,quen
惰,nọa,nọa đọa
惱,não,não
惲,uẩn,uẩn
想,tưởng,tưởng
惴,nhoai,nhoai chúy
惵,điệp,điệp
惶,hòang,hòang hoàng
惷,xuẩn,xuẩn
惸,qùynh,qùynh
惹,nha,nha nhạ
惺,tinh,tinh tỉnh
惻,trắc,trắc
惼,bẽn,bẽn biển
惽,hôn,hôn muộn
愀,xỉu,xỉu sậu thiểu
愁,sầu,sầu
愆,khiền,khiền khiên
愈,rủ,rủ dũ
愉,du,du thâu rủ
愊,bực,bực phúc phức
愍,mẫn,mẫn
愎,phức,phức
意,ý,ý y
愐,giợn,giợn miễn
愒,khái,khái khế
愓,đãng,đãng
愔,am,am âm
愕,ngạc,ngạc
愚,ngu,ngu
愛,ái,ái
愜,khiếp,khiếp thiếp
愞,nhuyễn,nhuyễn
感,cảm,cảm hám
愠,uấn,uấn
愡,tổng,tổng
愤,phẫn,phẫn
愦,hội,hội
愧,qúy,qúy
愨,khác,khác xác
愫,tố,tố
愬,sách,sách sánh tố
愰,hỏang,hỏang
愴,sang,sang sảng
愷,khải,khải
愻,tốn,tốn
愼,thận,thận
愽,bác,bác
愾,hi,hi hy hất khái khải
愿,nguyện,nguyện
慁,hỗn,hỗn
慂,dũng,dũng
慃,õng,õng
慄,lật,lật
慅,tao,tao tháo
慆,thao,thao
慇,ân,ân
慈,từ,từ tư
慉,súc,súc
慊,hiềm,hiềm khiếp khiết khiểm
態,thái,thái
慌,hỏang,hỏang hoang hoảng
慍,uấn,uấn uẩn
慎,thận,thận
慑,nhiếp,nhiếp
慓,phiêu,phiêu phiếu
慕,mộ,mộ
慘,thảm,thảm
慙,tàm,tàm tuồm
慚,tuồm,tuồm tàm
慛,thôi,thôi
慝,thắc,thắc
慞,chương,chương
慟,đỏng,đỏng đỗng động
慢,mạn,mạn
慣,quen,quen quán
慤,xác,xác
慥,tháo,tháo
慧,huệ,huệ tuệ
慨,khái,khái
慪,hu,hu
慫,túng,túng tủng
慬,cỡn,cỡn cần cận
慭,ngận,ngận
慮,lự,lự lư lục
慯,thưởng,thưởng
慰,úy,úy ủy uý
慱,đòan,đòan
慳,ghen,ghen khan san xan
慴,tiệp,tiệp điệp chiếp chiệp nhiếp triệp
慵,thuồng,thuồng dong dung thung
慶,khánh,khánh khanh khương
慷,khảng,khảng
慼,thích,thích
慽,thích,thích
慾,dục,dục
憀,liêu,liêu
憁,tổng,tổng
憂,ưu,ưu
憃,thung,thung xuẩn
憇,khế,khế
憊,bại,bại bị
憋,biết,biết biệt miết
憍,kiêu,kiêu
憎,tăng,tăng
憐,liên,liên lân lanh
憑,bằng,bằng bẵng
憒,hội,hội
憓,huệ,huệ
憔,tiều,tiều
憖,ngận,ngận
憘,hy,hy hỷ
憙,hí,hí hý hỉ
憚,dạn,dạn đát đạn
憜,đọa,đọa
憝,đỗi,đỗi đội
憤,phẫn,phẫn phấn
憧,sung,sung tráng xung
憨,hám,hám ham hàm
憩,khế,khế
憪,hàn,hàn
憫,mẫn,mẫn
憬,cảnh,cảnh
憭,trêu,trêu liêu liễu liệu
憮,hủ,hủ vũ
憰,quyệt,quyệt
憲,hiến,hiến
憶,ức,ức
憸,tiêm,tiêm
憹,não,não nông
憺,đam,đam đảm
憾,hám,hám đảm
懁,quyên,quyên
懂,đổng,đổng
懃,cần,cần
懆,tháo,tháo thảo
懇,khấn,khấn khẩn
懈,giải,giải
應,ứng,ứng ưng
懊,ảo,ảo áo úc
懋,mậu,mậu
懌,dịch,dịch
懍,lẫm,lẫm
懐,hòai,hòai phó phụ
懑,muộn,muộn
懒,lãn,lãn
懓,áy,áy
懔,lẫm,lẫm
懕,yêm,yêm
懜,mộng,mộng
懝,ngại,ngại
懞,mong,mong
懟,trụy,trụy đỗi
懢,nhàm,nhàm
懣,muộn,muộn muốn
懥,chí,chí sí sý
懦,nhụa,nhụa nhu nọa
懧,nạnh,nạnh
懫,chí,chí
懮,ưu,ưu
懲,trừng,trừng
懴,sám,sám
懵,manh,manh mông mặng mộng
懶,lãn,lãn lại
懷,hòai,hòai hoài
懸,huyền,huyền
懺,sám,sám
懼,cụ,cụ
懽,hoan,hoan hòan họan quán
懾,nhiếp,nhiếp
懿,ý,ý
戀,luyến,luyến
戁,nãn,nãn nạn nản
戄,cụ,cụ quặc
戆,cống,cống
戇,cống,cống tráng
戈,qua,qua
戉,mậu,mậu việt
戊,mậu,mậu
戋,tiên,tiên
戌,tuất,tuất
戍,thú,thú
戎,nhung,nhung
戏,hí,hí
成,thành,thành
我,ngã,ngã
戒,giới,giới
戔,tiên,tiên tàn
戕,tường,tường
或,hoặc,hoặc vực
戗,sang,sang
战,chiến,chiến
戚,thích,thích xúc
戛,giát,giát kiết
戝,tặc,tặc
戞,kiết,kiết
戟,kích,kích
戠,thực,thực chỉ
戡,kham,kham
戢,tập,tập
戣,qùy,qùy
戦,chiến,chiến
戧,sang,sang sáng thương
戩,tiển,tiển tiễn
截,tiệt,tiệt
戬,tiển,tiển
戮,lục,lục
戯,hí,hí hý
戰,chiến,chiến
戱,hí,hí
戲,hí,hí hi huy hô hý
戳,sác,sác trạc trốc
戴,đái,đái đới
戶,hộ,hộ
户,hộ,hộ
戸,hộ,hộ
戹,ách,ách
戻,lệ,lệ liệt lư
戼,mão,mão
戽,hố,hố hỗ
戾,lệ,lệ liệt
房,phòng,phòng bàng
所,sở,sở sỡ
扁,biển,biển biên thiên
扂,điếm,điếm điệm
扃,côi,côi quynh qúynh
扄,côi,côi quynh
扆,ỷ,ỷ
扇,phiến,phiến thiên
扈,hỗ,hỗ
扉,phi,phi
手,thủ,thủ tay
扌,thủ,thủ
才,tài,tài
扎,trát,trát
扐,lặc,lặc
扑,bốc,bốc phác phốc
扒,bắt,bắt bái bát
打,đả,đả tá
扔,nẫy,nẫy nhưng nhận
払,chàng,chàng bật phất
扗,nhổ,nhổ
托,thác,thác thách thốc thước thướt
扙,rượn,rượn
扛,giăng,giăng cang công giang
扜,vo,vo
扞,cán,cán cản hãn
扠,xoa,xoa sa tra
扡,tha,tha thiên
扢,ngắt,ngắt
扣,khấu,khấu khẩu
扤,ngột,ngột
扦,xiên,xiên
执,chấp,chấp
扨,nhấn,nhấn
扩,quẳng,quẳng
扪,môn,môn
扫,tảo,tảo
扬,dương,dương
扭,nữu,nữu
扮,ban,ban biện bán phạn phẫn
扯,chải,chải xả
扰,nhiễu,nhiễu
扱,gắp,gắp hấp tháp tráp
扲,cầm,cầm
扳,bẳn,bẳn ban bản phan
扵,vu,vu
扶,phù,phù bồ
批,phê,phê
扺,chỉ,chỉ
扻,tiết,tiết
扼,ách,ách
扽,đùn,đùn đốn thác
找,quơ,quơ hoa qua trảo
承,thừa,thừa chửng tặng
技,kĩ,kĩ kỹ
抂,uổng,uổng
抃,bện,bện biến biện
抄,sao,sao
抅,câu,câu
抆,vặn,vặn
抇,nhặt,nhặt
抈,ngoắt,ngoắt
抉,khóet,khóet quyết khoét
把,bã,bã bà bá bả
抌,du,du
抍,cơ,cơ
抑,ức,ức
抒,trữ,trữ
抓,co,co trao trảo
抔,bồi,bồi phầu
投,đầu,đầu đậu
抖,đẩu,đẩu
抗,kháng,kháng
折,chiết,chiết đề
抚,vỗ,vỗ
抛,phao,phao
抜,bạt,bạt bội
抝,húc,húc
択,trạch,trạch
抟,chuyên,chuyên
抠,khua,khua
抡,luân,luân
抢,sang,sang
护,hộ,hộ
报,báo,báo
抨,banh,banh bình phanh
抩,nhóm,nhóm
抪,bó,bó
披,phơ,phơ bia phi
抬,si,si sĩ đài
抯,vả,vả
抱,bão,bão bào
抳,nai,nai
抵,chỉ,chỉ để
抶,thắt,thắt sất
抷,phơ,phơ
抸,bẹp,bẹp
抹,mạt,mạt
抺,vầy,vầy
抻,điền,điền nhiên thân
押,áp,áp
抽,trừu,trừu
抾,khứa,khứa
抿,mân,mân
拁,giơ,giơ
拂,phất,phất bật phật
拃,chiết,chiết
拄,chủ,chủ trụ
担,dứt,dứt đam đảm đán đẵm đắn đẵn đét tạ đãn
拆,sách,sách xích
拇,mẫu,mẫu
拈,chêm,chêm niêm
拉,lấp,lấp lạp
拊,phu,phu phụ phủ
拋,phao,phao
拌,bắn,bắn bàn bạn phan phán
拍,phếch,phếch bác phách
拎,linh,linh
拏,noa,noa nã
拐,quảy,quảy quái quải quầy
拑,kiềm,kiềm cùm
拒,cự,cự củ
拓,chích,chích thác tháp
拔,bạt,bạt bội
拕,tha,tha đà
拖,đà,đà tha
拗,húc,húc ao nữu áo ảo
拘,câu,câu cù
拙,chút,chút chuyết
拚,biện,biện phan phanh phiên phấn
招,chiêu,chiêu kiêu kiều thiêu thiều
拜,bái,bái
拝,bái,bái
拞,khêu,khêu khua
拟,nghĩ,nghĩ
拠,cứ,cứ
拡,khóac,khóac khóach khóang khoắc khuếch
拢,long,long
拣,gióng,gióng
拥,dùng,dùng
拦,dan,dan
拧,ninh,ninh
拨,bát,bát
择,trạch,trạch
拪,tay,tay
拫,gắn,gắn
括,quát,quát họat
拭,rị,rị thức
拮,cất,cất cát kiết kiệt
拯,chửng,chửng chủng
拰,nhúm,nhúm
拱,cõng,cõng củng
拳,quyền,quyền
拴,thuyên,thuyên
拵,dồn,dồn
拶,tạt,tạt
拷,khỉu,khỉu khảo
拼,phanh,phanh banh bính
拽,dìa,dìa duệ
拾,thập,thập kiệp thiệp
拿,nã,nã
持,trì,trì
挂,quẩy,quẩy quải
挃,chọi,chọi
挄,quăng,quăng
挅,xóa,xóa xoá
指,chỉ,chỉ
挈,khiết,khiết khế kiết
按,án,án
挌,cách,cách rắc gác
挍,gieo,gieo hiệu
挏,rùng,rùng
挐,noa,noa nã nư nạo
挑,vẹo,vẹo khiêu thao thiêu thiểu
挒,trét,trét
挓,trát,trát
挕,nhẹ,nhẹ
挖,óat,óat ọat
挗,dí,dí
挙,cử,cử
挚,chí,chí
挛,luyên,luyên
挝,qua,qua
挞,thát,thát
挟,hiệp,hiệp tiệp xáp
挠,nhéo,nhéo
挡,đáng,đáng
挢,kéo,kéo
挣,tránh,tránh
挤,tê,tê
挥,huy,huy
挦,triêm,triêm
挨,ai,ai ải
挪,ná,ná na
挫,dọa,dọa tỏa doạ
挬,vọt,vọt
挭,gánh,gánh cánh ngạnh
振,chấn,chấn chân chẩn
挰,dềnh,dềnh
挱,sa,sa
挲,sa,sa ta
挴,mói,mói
挵,lỏng,lỏng lộng
挶,cúc,cúc cư
挷,văng,văng
挸,kén,kén
挹,úp,úp ấp
挺,đĩnh,đĩnh
挼,nhôi,nhôi noa noi nôi nối nổi nỗi nuôi nhoa
挽,vãn,vãn suốt
挾,xáp,xáp cáp hiệp tiệp
挿,thọc,thọc sáp tháp tráp
捁,kéo,kéo
捂,ngộ,ngộ ô
捃,khuân,khuân
捄,cầu,cầu cứu
捅,thòng,thòng
捆,hồn,hồn khổn
捇,xách,xách
捈,giơ,giơ
捉,tróc,tróc
捋,liệt,liệt lóat
捌,bịt,bịt bát
捍,cản,cản hãn tốc
捎,sao,sao siếu tiêu
捏,niết,niết
捐,quyên,quyên quen quên
捓,da,da gia
捕,bõ,bõ bổ bộ
捗,duệ,duệ
捘,thoa,thoa tuấn
捛,trã,trã
捜,sảo,sảo sưu tiêu
捞,lau,lau
损,tốn,tốn
捠,banh,banh
捡,kiểm,kiểm
换,hóan,hóan
捣,đẽo,đẽo
捤,vãi,vãi
捥,uốn,uốn ỏan uyên
捦,cầm,cầm
捧,bổng,bổng phụng phủng
捨,xả,xả
捩,liệt,liệt lệ
捫,môn,môn
捬,phụ,phụ phủ vỗ
捭,bác,bác bãi phách
据,cứ,cứ cư
捱,nhay,nhay ngai nhai
捲,cuốn,cuốn quyền quyển
捶,chúy,chúy chủy trùy
捷,tiệp,tiệp thiệp
捺,nài,nài nại
捻,nạm,nạm nhiên niêm niễn niệm niệp nẫm
捼,nhoa,nhoa noa nôi nhôi
捽,lót,lót tốt
捿,tây,tây tê thê
掀,hiên,hiên hân
掂,giếm,giếm điêm điếm điểm
掃,tảo,tảo táo
掄,luân,luân
掇,suốt,suốt xuyết
授,thụ,thụ thọ
掉,trao,trao trạo điệu
掊,bẫu,bẫu bồi phó phẩu phẫu
掌,chưởng,chưởng
掎,ky,ky kỉ kỷ ỷ
掏,đào,đào
掐,kháp,kháp
掑,cài,cài
排,bài,bài
掔,khan,khan kiên
掖,dịch,dịch
掘,quật,quật
掙,tránh,tránh tranh
掛,quẩy,quẩy quải
掞,diễm,diễm diệm thiểm
掟,định,định
掠,lướt,lướt lược
採,thái,thái thải
探,thám,thám tham
掣,xiết,xiết sế xế
掤,băng,băng
接,tiếp,tiếp
控,khống,khống khoang
推,suy,suy thôi
掩,ém,ém yểm
措,thố,thố trách
掫,chu,chu tâu tưu
掬,cúc,cúc
掭,thiệm,thiệm
掮,khiêng,khiêng kiên
掯,khẳng,khẳng
掲,khế,khế yết
掳,lỗ,lỗ
掴,quách,quách quắc quặc quốc
掷,trịch,trịch
掸,đàn,đàn
掺,sam,sam
掻,tao,tao trảo
掼,quán,quán
掽,bánh,bánh bính
掾,duyện,duyện
掿,nhắc,nhắc
揀,gióng,gióng giản luyến
揁,rinh,rinh khanh
揂,dùa,dùa
揃,tiên,tiên tiễn
揄,du,du
揅,nghiên,nghiên
揆,quẫy,quẫy qũy
揉,nhu,nhu nhụ
揎,tuyên,tuyên
描,miêu,miêu
提,đề,đề thì để
揑,nghễ,nghễ niết
插,chắp,chắp sáp tháp tráp
揕,chạm,chạm chấm trấm
揖,ập,ập tập ấp
揚,dương,dương
換,hóan,hóan
揜,yểm,yểm ém
揝,tòan,tòan
揞,ẵm,ẵm
揠,yết,yết yển
握,ác,ác ốc
揣,chùy,chùy sủy tuy đòan
揥,thế,thế đế
揩,giai,giai khai
揪,thu,thu tưu
揫,thu,thu tưu
揬,dụt,dụt
揭,yết,yết khế
揮,huy,huy
揲,diệp,diệp thiệt xà điệp
揳,khế,khế
援,viện,viện viên
揵,kiền,kiền kiện
揶,da,da gia
揷,sáp,sáp tháp tráp thọc
揸,tra,tra
揹,bội,bội
揺,dao,dao diêu gieo
揽,lãm,lãm
揾,ùn,ùn
揿,khấm,khấm
搀,sọm,sọm
搁,gác,gác
搂,lùa,lùa
搃,tổng,tổng
搅,cảo,cảo
搆,cấu,cấu câu
搇,khấm,khấm
搈,dong,dong
搉,giác,giác xác
搊,so,so sâu sưu trửu xu xâu
損,tốn,tốn tổn
搎,dun,dun
搏,vác,vác bác chuyên đòan
搐,súc,súc
搒,bang,bang bàng bành bảng văng
搓,sai,sai tha
搔,trao,trao tao trảo
搖,gieo,gieo dao diêu
搗,đẽo,đẽo đảo
搘,chi,chi
搛,gom,gom
搜,sưu,sưu sảo tiêu
搝,xỏ,xỏ
搞,cào,cào cảo
搠,sóc,sóc
搢,tấn,tấn
搤,ách,ách
搥,trùy,trùy đôi
搦,nhược,nhược nạch
搨,tháp,tháp
搪,đường,đường
搫,bưng,bưng
搬,bưng,bưng ban bàn
搭,đắp,đắp tháp đáp
搮,lắt,lắt
搯,thao,thao đào
搰,cô,cô cốt hột
搴,khiên,khiên
搵,uấn,uấn vấn án
搶,sang,sang sanh thương thướng thưởng thảng
携,huề,huề
搽,trà,trà
搾,trá,trá
摁,ân,ân
摂,nhiếp,nhiếp
摄,nhép,nhép
摅,lựa,lựa
摆,bẫy,bẫy
摇,gieo,gieo
摈,bấn,bấn
摊,nặn,nặn
摎,cưu,cưu lưu
摏,thung,thung
摑,quách,quách quắc quặc quốc
摒,bính,bính tính phanh
摓,bồng,bồng
摔,suất,suất
摘,trích,trích
摙,lèn,lèn
摛,si,si
摜,quán,quán
摟,lùa,lùa lâu
摠,tổng,tổng
摡,cái,cái khái
摣,tra,tra
摧,thôi,thôi tỏa tủy tồi
摩,ma,ma
摪,rướn,rướn
摭,chích,chích trích
摮,ngào,ngào
摯,chí,chí
摱,mần,mần
摳,khua,khua khu
摴,sư,sư xư thư
摶,chuyên,chuyên đòan
摸,mò,mò mô mạc
摹,mò,mò mô
摺,dập,dập chiếp chiệp lạp triệp
摻,sam,sam sâm sảm tham thám tiêm
摼,ken,ken
摽,phiêu,phiêu phiếu tiêu
撃,kích,kích
撄,anh,anh
撅,quét,quét quyết quyệt quệ
撆,phiết,phiết
撇,phiết,phiết
撈,lau,lau lao liệu
撌,quấy,quấy
撍,tòan,tòan
撎,nhắt,nhắt
撏,triêm,triêm trâm tầm
撐,sanh,sanh xanh xênh
撑,xênh,xênh sanh xanh
撒,tát,tát tản
撓,nhéo,nhéo nạo
撔,ngảnh,ngảnh
撕,ti,ti ty tê tề tỵ
撘,đắp,đắp
撙,tổn,tổn tỗn
撚,nhiên,nhiên niên niết niển niễn niệm niệp
撝,vày,vày huy
撞,chàng,chàng tràng
撟,kéo,kéo kiều kiểu kiệu
撢,đùm,đùm
撣,đàn,đàn đãn đạn đùm
撤,triệt,triệt
撥,bát,bát phạt
撦,xả,xả chải
撩,lêu,lêu liêu liệu
撫,vỗ,vỗ mô phủ
撬,khiêu,khiêu
播,vá,vá bá bả
撮,tóat,tóat toát
撰,sọan,sọan chuyển tóan tuyển soạn
撲,vục,vục bạc phác phốc
撳,khấm,khấm
撴,đun,đun
撷,hiệt,hiệt
撸,trỏ,trỏ
撹,cảo,cảo giảo
撺,sóan,sóan
撻,thát,thát
撼,hám,hám
撽,kích,kích
撾,qua,qua
撿,kiểm,kiểm liệm
擁,ung,ung ủng dùng
擂,lụy,lụy lôi
擃,nống,nống
擄,lỗ,lỗ
擅,chen,chen thiện
擇,trạch,trạch
擉,thọc,thọc thục trạc
擊,kích,kích
擋,đáng,đáng đảng
操,thao,thao tháo
擎,kình,kình
擐,hòan,hòan họan
擒,cầm,cầm
擔,đam,đam đảm dứt
擗,bích,bích bịch phích tích tịch
擘,bài,bài bịch phách
據,cớ,cớ cứ
擛,dẹp,dẹp
擞,tẩu,tẩu
擠,tê,tê tễ
擡,sĩ,sĩ đài
擢,trạc,trạc
擣,đảo,đảo đẽo
擤,hanh,hanh tỉnh
擥,lãm,lãm giam
擦,xát,xát sát
擧,cử,cử
擩,nhuyên,nhuyên nhũ nhụ
擪,áp,áp
擬,nghĩ,nghĩ
擭,họach,họach hộ óach
擯,bấn,bấn thấn tấn
擰,ninh,ninh nịnh
擱,gác,gác các
擲,trịch,trịch
擴,quẳng,quẳng khóac khóach khóang khoắc khuếch
擷,hiệt,hiệt
擸,xợp,xợp
擺,bẫy,bẫy bài bãi
擻,tẩu,tẩu
擼,trỏ,trỏ
擽,lịch,lịch
擾,nhiễu,nhiễu
擿,thích,thích trích trịch
攀,phan,phan phàn bẳn
攄,lựa,lựa sư
攅,tòan,tòan
攉,hoắc,hoắc
攎,so,so
攏,long,long lung lũng
攑,gỡ,gỡ
攒,tòan,tòan
攔,dan,dan lan lạn
攖,anh,anh oanh
攘,nhường,nhường nhương nhưỡng nhượng
攙,sọm,sọm sam
攛,sóan,sóan thóan
攜,huề,huề
攝,nhép,nhép nhiếp
攞,rà,rà la lõa
攢,tòan,tòan tỏan
攣,luyên,luyên luyến
攤,nặn,nặn than
攩,đảng,đảng
攪,cảo,cảo giảo cào
攫,quắc,quắc quặc
攬,lãm,lãm
攮,nện,nện nãng
支,chi,chi
攲,khi,khi
攴,phác,phác phốc phộc
攵,phác,phác phốc phộc truy
收,thu,thu thâu thú
攷,khảo,khảo
攸,du,du
改,cải,cải
攻,công,công
放,phóng,phóng phương phỏng
政,chính,chính chinh chánh
敁,chêm,chêm
敃,mân,mân mẫn phân
敄,vụ,vụ
故,cố,cố
效,hiệu,hiệu
敉,mị,mị
敌,địch,địch
敍,tự,tự
敎,giáo,giáo
敏,mẫn,mẫn
救,cứu,cứu
敔,ngữ,ngữ
敕,sắc,sắc
敖,ngào,ngào ngao ngạo
敗,bại,bại
敘,tự,tự
教,giáo,giáo giao
敛,liễm,liễm
敝,tệ,tệ
敞,sưởng,sưởng xưởng
敠,uyết,uyết xuyết
敢,cám,cám cảm
散,tản,tản tán
敦,đôn,đôn điêu đòan đôi đạo đối đồn độn
敧,khi,khi
敪,uyết,uyết
敫,kiểu,kiểu
敬,kính,kính
数,sác,sác số sổ xúc
敲,xao,xao
整,chỉnh,chỉnh
敵,địch,địch
敷,phu,phu
數,số,số sác sổ xúc
敺,khu,khu ẩu xúi
敽,kiểu,kiểu
斁,dịch,dịch đố
斂,liễm,liễm liệm
斃,tễ,tễ tệ
斅,hiệu,hiệu
斆,hiệu,hiệu
文,văn,văn vấn
斈,học,học
斉,tề,tề tày
斋,tày,tày
斌,bân,bân băn
斍,giác,giác
斎,trai,trai
斐,phỉ,phỉ phi
斑,ban,ban
斒,ban,ban
斓,lan,lan
斕,lan,lan
斗,đấu,đấu đẩu ẩu
料,liệu,liệu liêu
斚,giả,giả
斛,hộc,hộc
斜,tà,tà gia
斝,giả,giả
斞,dữu,dữu
斟,châm,châm
斠,các,các dác giác
斡,óat,óat quản
斤,cân,cân cấn
斥,xịch,xịch xích
斧,búa,búa phủ
斩,trảm,trảm
斫,chước,chước
斬,trảm,trảm
断,đọan,đọan đóan đoạn
斮,trác,trác trước
斯,tư,tư
新,tân,tân mới
斲,trác,trác
斵,trác,trác
斷,đóan,đóan đọan đoạn
斸,chước,chước trọc trục
方,phương,phương bàng
於,ư,ư ô
施,thi,thi di dị thí thỉ
斾,bái,bái
斿,du,du lưu
旁,bàng,bàng banh bạng phang
旂,kì,kì kỳ cờ
旃,chiên,chiên
旄,mao,mao mạo
旅,lữ,lữ
旆,bái,bái
旈,lưu,lưu
旉,phu,phu
旋,tòan,tòan tuyền toàn
旌,tinh,tinh
旎,ni,ni nỉ nị
族,tộc,tộc thấu tấu
旐,triệu,triệu
旒,lưu,lưu
旖,y,y ỷ
旗,cờ,cờ kì kỳ
旘,xí,xí
旙,phan,phan phiên
旛,phướn,phướn phan
旟,dư,dư
无,mô,mô vô
旡,kí,kí ký vô
既,kí,kí ký
日,nhật,nhật nhựt ngày
旦,đán,đán
旧,cựu,cựu
旨,chỉ,chỉ
早,tảo,tảo
旪,hiếp,hiếp
旬,quyên,quyên quân tuần
旭,hóc,hóc húc
旰,cán,cán hãn
旱,hạn,hạn
旴,hù,hù hu húc
时,thì,thì
旷,khoảng,khoảng
旸,dương,dương
旹,thì,thì thời
